"","day","method","sample","sample_no","time","accu","rps"
"341",2,"t",165,21,3.95,0.586826347305389,0.175666741068218
"342",3,"t",165,21,4.10999999999999,0.586826347305389,0.175666741068218
"343",2,"s",160,23,3.28,0.568862275449102,0.175666900720279
"344",4,"t",172,23,3.94999999999999,0.562874251497006,0.175677725111439
"345",3,"w",165,21,2,0.568862275449102,0.175695556051809
"346",3,"w",168,21,2,0.550898203592814,0.175697021762478
"347",2,"w",165,25,2.44,0.55688622754491,0.175698143583821
"348",2,"w",160,25,2.44,0.574850299401198,0.175703821495985
"349",2,"t",180,25,3.95,0.586826347305389,0.175705530351307
"350",3,"t",180,25,4.10999999999999,0.586826347305389,0.175705530351307
"351",2,"w",164,21,2.44,0.562874251497006,0.175708743627873
"352",4,"s",172,23,2.81,0.562874251497006,0.175710249512815
"353",2,"t",166,21,3.95,0.580838323353293,0.17571925071997
"354",3,"t",166,21,4.10999999999999,0.580838323353293,0.17571925071997
"355",2,"t",161,23,3.95,0.580838323353293,0.175750603917486
"356",3,"t",161,23,4.10999999999999,0.580838323353293,0.175750603917486
"357",4,"w",180,25,1.91999999999996,0.580838323353293,0.175756805344508
"358",4,"w",168,21,1.91999999999996,0.550898203592814,0.175765228022822
"359",4,"s",172,21,2.81,0.55688622754491,0.175768625860963
"360",4,"t",179,21,3.94999999999999,0.544910179640719,0.175778901772382
"361",4,"t",175,25,3.94999999999999,0.568862275449102,0.175780383555993
"362",2,"s",176,23,3.28,0.574850299401198,0.175799951288537
"363",2,"t",180,23,3.95,0.580838323353293,0.175813151643947
"364",3,"t",180,23,4.10999999999999,0.580838323353293,0.175813151643947
"365",3,"w",180,25,2,0.580838323353293,0.175850866054976
"366",2,"t",161,21,3.95,0.55688622754491,0.175857587097417
"367",3,"t",161,21,4.10999999999999,0.55688622754491,0.175857587097417
"368",2,"s",164,19,3.28,0.55688622754491,0.175904127322334
"369",3,"s",168,19,2.88,0.568862275449102,0.175928397993634
"370",4,"s",176,25,2.81,0.586826347305389,0.175933235202978
"371",2,"w",172,19,2.44,0.586826347305389,0.175935780264122
"372",4,"w",180,23,1.91999999999996,0.580838323353293,0.175955125075341
"373",2,"t",179,19,3.95,0.550898203592814,0.175965119976379
"374",3,"t",179,19,4.10999999999999,0.550898203592814,0.175965119976379
"375",4,"t",167,21,3.94999999999999,0.55688622754491,0.175965754165101
"376",2,"s",160,25,3.28,0.568862275449102,0.175966332160576
"377",4,"t",171,25,3.94999999999999,0.55688622754491,0.175977182824349
"378",2,"s",172,19,3.28,0.586826347305389,0.176009316851868
"379",2,"t",177,19,3.95,0.586826347305389,0.176020297050611
"380",3,"t",177,19,4.10999999999999,0.586826347305389,0.176020297050611
"381",4,"t",176,25,3.94999999999999,0.568862275449102,0.176031864705616
"382",2,"w",165,23,2.44,0.55688622754491,0.176041542779832
"383",2,"t",161,25,3.95,0.574850299401198,0.176049939368164
"384",3,"t",161,25,4.10999999999999,0.574850299401198,0.176049939368164
"385",2,"s",176,21,3.28,0.574850299401198,0.176062792199638
"386",4,"w",177,19,1.91999999999996,0.598802395209581,0.176070190748092
"387",3,"w",180,23,2,0.574850299401198,0.176070817623856
"388",2,"t",168,19,3.95,0.568862275449102,0.176083180745961
"389",3,"t",168,19,4.10999999999999,0.568862275449102,0.176083180745961
"390",3,"w",176,25,2,0.562874251497006,0.176107363316761
"391",4,"w",163,19,1.91999999999996,0.562874251497006,0.176136092674696
"392",4,"s",179,19,2.81,0.544910179640719,0.17614700737593
"393",4,"w",176,25,1.91999999999996,0.586826347305389,0.176153580164298
"394",4,"w",167,23,1.91999999999996,0.574850299401198,0.176191541646159
"395",2,"w",176,25,2.44,0.574850299401198,0.17619261862973
"396",3,"s",177,21,2.88,0.592814371257485,0.176220079007665
"397",3,"s",168,25,2.88,0.586826347305389,0.176222152287603
"398",4,"t",178,19,3.94999999999999,0.55688622754491,0.176234140134155
"399",3,"s",177,23,2.88,0.592814371257485,0.176239789314693
"400",2,"w",172,21,2.44,0.562874251497006,0.176241695123965
"401",3,"s",171,25,2.88,0.568862275449102,0.176279917628393
"402",3,"w",174,19,2,0.604790419161677,0.176281647826618
"403",2,"w",172,23,2.44,0.568862275449102,0.176298183689871
"404",3,"s",179,19,2.88,0.550898203592814,0.17629839236357
"405",3,"w",161,21,2,0.562874251497006,0.17635041401151
"406",2,"s",161,21,3.28,0.55688622754491,0.176353899381823
"407",4,"t",179,19,3.94999999999999,0.550898203592814,0.176358236019342
"408",2,"s",165,23,3.28,0.562874251497006,0.176372787240152
"409",3,"w",166,21,2,0.586826347305389,0.17638375077559
"410",2,"w",174,19,2.44,0.586826347305389,0.17639490796797
"411",4,"t",180,25,3.94999999999999,0.568862275449102,0.176430275688959
"412",3,"s",180,21,2.88,0.580838323353293,0.176438792624
"413",3,"s",163,19,2.88,0.580838323353293,0.176448583045962
"414",3,"w",163,19,2,0.580838323353293,0.176468006115041
"415",3,"s",176,25,2.88,0.562874251497006,0.17647789674039
"416",4,"w",174,19,1.91999999999996,0.610778443113772,0.176493500326441
"417",4,"t",173,23,3.94999999999999,0.574850299401198,0.176495692640733
"418",2,"t",177,25,3.95,0.598802395209581,0.176524099533181
"419",3,"t",177,25,4.10999999999999,0.598802395209581,0.176524099533181
"420",3,"s",164,25,2.88,0.550898203592814,0.176524249644827
"421",4,"s",179,21,2.81,0.544910179640719,0.17654134404662
"422",4,"t",166,25,3.94999999999999,0.568862275449102,0.176542017602135
"423",4,"t",173,25,3.94999999999999,0.562874251497006,0.176554295076855
"424",4,"t",171,23,3.94999999999999,0.550898203592814,0.176565300408245
"425",3,"w",161,19,2,0.568862275449102,0.176570053895074
"426",4,"s",166,25,2.81,0.562874251497006,0.176576769326927
"427",4,"t",175,23,3.94999999999999,0.568862275449102,0.176584946157053
"428",2,"w",165,21,2.44,0.562874251497006,0.17660034098088
